Hips,下半身
Spine,Spine
Chest,上半身
UpperChest,
Breast_L,
Breast2_L,
Breast_R,
Breast2_R,
Neck,首
Head,頭
Eye_L,左目
Eye_R,右目
Shoulder_L,肩.L
UpperArm_L,腕.L
LowerArm_L,ひじ.L
Hand_L,手首.L
IndexProximal_L,親指１.L
IndexIntermediate_L,親指２.L
IndexDistal_L,
ThumbProximal_L,人指１.L
ThumbIntermediate_L,人指２.L
ThumbDistal_L,人指３.L
MiddleProximal_L,中指１.L
MiddleIntermediate_L,中指２.L
MiddleDistal_L,中指３.L
RingProximal_L,薬指１.L
RingIntermediate_L,薬指２.L
RingDistal_L,薬指３.L
LittleProximal_L,小指１.L
LittleIntermediate_L,小指２.L
LittleDistal_L,小指３.L
Shoulder_R,肩.R
UpperArm_R,腕.R
LowerArm_R,ひじ.R
Hand_R,手首.R
IndexProximal_R,親指１.R
IndexIntermediate_R,親指２.R
IndexDistal_R,
ThumbProximal_R,人指１.R
ThumbIntermediate_R,人指２.R
ThumbDistal_R,人指３.R
MiddleProximal_R,中指１.R
MiddleIntermediate_R,中指２.R
MiddleDistal_R,中指３.R
RingProximal_R,薬指１.R
RingIntermediate_R,薬指２.R
RingDistal_R,薬指３.R
LittleProximal_R,小指１.R
LittleIntermediate_R,小指２.R
LittleDistal_R,小指３.R
UpperLeg_L,足.L
LowerLeg_L,ひざ.L
Foot_L,足首.L
Toe_L,
UpperLeg_R,足.R
LowerLeg_R,ひざ.R
Foot_R,足首.R
Toe_R,
